id,name,class,mass,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,Sun,STA,1.988469999999999977e+30,0,0,0,0,0,0
1,Mercury,PLA,3.301011000000000295e+23,-0.1407280797108346471,-0.4439009580270337207,-0.02334555919971203,0.02116915795266632871,-0.007098071516153788181,-0.002522865185944705817
2,Venus,PLA,4.86732000000000012e+24,-0.7186302169204941137,-0.02250380069428590743,0.04117184128636829782,0.0005135391136806538971,-0.02030639336837833375,-0.0003071783282719974407
3,Earth,PLA,5.972185999999999813e+24,-0.1685246483858766631,0.9687833049070307956,-4.120490278477268624e-06,-0.01723415470267592939,-0.003007696701791743449,3.562616065704365793e-08
4,Mars,PLA,6.416928000000000461e+23,1.390361066087240305,-0.02100972123734164837,-0.03461801385164816475,0.0007479371915018697596,0.01518650308644078212,0.0002997572342804204724
5,Jupiter,PLA,1.898129999999999971e+27,4.003460488693536767,2.93535318788787869,-0.1018230443988181327,-0.00456163622382308679,0.006444286938095176651,7.543512831172022911e-05
6,Saturn,PLA,5.683191000000000214e+26,6.408556035505921677,6.568042752621961355,-0.3691272880681217838,-0.004289985914955479936,0.003891487824679270516,0.0001025964912806820206
7,Uranus,PLA,8.681012999999999361e+25,14.43051755765633715,-13.73565774412954532,-0.2381291358891927112,0.002678444171468907092,0.00267240570769687602,-2.474804657761788589e-05
8,Neptune,PLA,1.024096000000000037e+26,16.81075586572798386,-24.99265128053396268,0.1272718567577856563,0.002579116188631168198,0.001776802273742378877,-9.570205639009878029e-05
9,Ceres,DWA,9.47e+20,-2.377530298725977431,0.8007772245189904714,0.4628376139249159027,-0.003605471293678001472,-0.01057897748104472298,0.0003379836392649748647
10,Pluto,DWA,1.302933000000000072e+22,-9.876867450615563371,-27.95802121799911788,5.850814618317932592,0.00303902029219648654,-0.001529923990772284401,-0.0007172341826176346349
